,Text File Links
0,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/0001090872-20-000020.txt
1,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/0001090872-19-000022.txt
2,https://www.sec.gov/Archives/edgar/data/1090872/000109087218000019/0001090872-18-000019.txt
3,https://www.sec.gov/Archives/edgar/data/1090872/000109087217000018/0001090872-17-000018.txt
4,https://www.sec.gov/Archives/edgar/data/1090872/000109087216000082/0001090872-16-000082.txt
5,https://www.sec.gov/Archives/edgar/data/1090872/000109087215000051/0001090872-15-000051.txt
6,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000045/0001090872-14-000045.txt
7,https://www.sec.gov/Archives/edgar/data/1090872/000109087213000029/0001090872-13-000029.txt
8,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/0001090872-12-000018.txt
9,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/0001047469-11-010124.txt
10,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/0001047469-10-010499.txt
11,https://www.sec.gov/Archives/edgar/data/1090872/000104746909010861/0001047469-09-010861.txt
12,https://www.sec.gov/Archives/edgar/data/1090872/000104746908013312/0001047469-08-013312.txt
13,https://www.sec.gov/Archives/edgar/data/1090872/000104746907010272/0001047469-07-010272.txt
14,https://www.sec.gov/Archives/edgar/data/1090872/000104746906015256/0001047469-06-015256.txt
15,https://www.sec.gov/Archives/edgar/data/1090872/000104746906000516/0001047469-06-000516.txt
16,https://www.sec.gov/Archives/edgar/data/1090872/000119312504216917/0001193125-04-216917.txt
17,https://www.sec.gov/Archives/edgar/data/1090872/000119312503098260/0001193125-03-098260.txt
18,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/0000891618-02-005622.txt
19,https://www.sec.gov/Archives/edgar/data/1090872/000089161802000373/0000891618-02-000373.txt
20,https://www.sec.gov/Archives/edgar/data/1090872/000089161802000185/0000891618-02-000185.txt
21,https://www.sec.gov/Archives/edgar/data/1090872/000109581101000226/0001095811-01-000226.txt
22,https://www.sec.gov/Archives/edgar/data/1090872/000091205700002160/0000912057-00-002160.txt
23,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049.txt
24,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/0000004281-20-000038.txt
25,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/0000004281-19-000031.txt
26,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/0000004281-18-000042.txt
27,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/0001193125-17-062657.txt
28,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/0001193125-16-470162.txt
29,https://www.sec.gov/Archives/edgar/data/4281/000119312515054376/0001193125-15-054376.txt
30,https://www.sec.gov/Archives/edgar/data/4281/000119312514051516/0001193125-14-051516.txt
31,https://www.sec.gov/Archives/edgar/data/4281/000119312513065466/0001193125-13-065466.txt
32,https://www.sec.gov/Archives/edgar/data/4281/000119312513062916/0001193125-13-062916.txt
33,https://www.sec.gov/Archives/edgar/data/4281/000119312512085685/0001193125-12-085685.txt
34,https://www.sec.gov/Archives/edgar/data/4281/000119312512065493/0001193125-12-065493.txt
35,https://www.sec.gov/Archives/edgar/data/4281/000119312511039230/0001193125-11-039230.txt
36,https://www.sec.gov/Archives/edgar/data/4281/000119312510034308/0001193125-10-034308.txt
37,https://www.sec.gov/Archives/edgar/data/4281/000119312509029469/0001193125-09-029469.txt
38,https://www.sec.gov/Archives/edgar/data/4281/000119312508032695/0001193125-08-032695.txt
39,https://www.sec.gov/Archives/edgar/data/4281/000119312507033124/0001193125-07-033124.txt
40,https://www.sec.gov/Archives/edgar/data/4281/000119312506034739/0001193125-06-034739.txt
41,https://www.sec.gov/Archives/edgar/data/4281/000119312505033143/0001193125-05-033143.txt
42,https://www.sec.gov/Archives/edgar/data/4281/000119312504031464/0001193125-04-031464.txt
43,https://www.sec.gov/Archives/edgar/data/4281/000092701603000933/0000927016-03-000933.txt
44,https://www.sec.gov/Archives/edgar/data/4281/000102140802003033/0001021408-02-003033.txt
45,https://www.sec.gov/Archives/edgar/data/4281/000095013201000156/0000950132-01-000156.txt
46,https://www.sec.gov/Archives/edgar/data/4281/000095013201000150/0000950132-01-000150.txt
47,https://www.sec.gov/Archives/edgar/data/4281/000000428100000007/0000004281-00-000007.txt
48,https://www.sec.gov/Archives/edgar/data/4281/0000004281-99-000005.txt
49,https://www.sec.gov/Archives/edgar/data/4281/0000004281-98-000010.txt
50,https://www.sec.gov/Archives/edgar/data/4281/0000004281-98-000002.txt
51,https://www.sec.gov/Archives/edgar/data/4281/0000004281-97-000006.txt
52,https://www.sec.gov/Archives/edgar/data/4281/0000004281-97-000001.txt
53,https://www.sec.gov/Archives/edgar/data/4281/0000004281-96-000005.txt
54,https://www.sec.gov/Archives/edgar/data/4281/0000004281-95-000002.txt
55,https://www.sec.gov/Archives/edgar/data/4281/0000004281-94-000005.txt
56,https://www.sec.gov/Archives/edgar/data/1099290/000114420417037280/0001144204-17-037280.txt
